R1,R2,R3,R4,R5,R6,R7,FECHA
1,4,7,11,19,30,36,1984-08-19
5,6,24,30,34,38,32,1984-08-26
16,18,19,21,29,32,27,1984-09-02
8,12,15,18,20,34,37,1984-09-09
4,10,13,18,33,39,11,1984-09-16
12,23,29,31,32,36,1,1984-09-23
12,14,21,29,32,39,26,1984-09-30
4,12,17,19,20,30,25,1984-10-07
4,6,10,15,32,36,33,1984-10-14
2,3,24,25,29,34,7,1984-10-21
3,5,14,15,26,34,28,1984-10-28
3,14,24,32,36,39,28,1984-11-04
6,9,23,24,28,36,26,1984-11-11
4,8,25,32,36,38,27,1984-11-18
6,9,15,23,32,37,7,1984-11-25
2,11,13,22,30,36,24,1984-12-02
10,19,20,25,30,32,7,1984-12-09
1,3,4,26,28,36,6,1984-12-16
3,18,22,26,31,36,14,1984-12-23
4,21,27,31,33,39,14,1984-12-30
4,12,13,17,34,36,21,1985-01-06
2,5,8,14,35,38,24,1985-01-13
3,18,22,24,26,33,2,1985-01-20
3,10,16,22,28,29,27,1985-01-27
3,7,19,20,26,29,21,1985-02-03
9,21,25,26,29,32,5,1985-02-10
12,13,23,27,30,35,1,1985-02-17
6,8,11,13,24,30,5,1985-02-24
1,5,8,18,33,35,19,1985-03-03
12,14,20,22,25,26,33,1985-03-10
14,18,23,28,31,35,38,1985-03-17
6,17,22,27,37,39,26,1985-03-24
6,11,14,16,27,29,28,1985-03-31
1,8,10,17,21,38,9,1985-04-07
1,7,12,19,20,28,10,1985-04-14
3,8,11,27,29,38,14,1985-04-21
2,12,14,27,28,36,34,1985-04-28
5,12,21,27,29,33,16,1985-05-05
2,10,31,34,35,39,20,1985-05-12
2,5,6,9,11,15,1,1985-05-19
3,9,20,21,23,28,31,1985-05-26
10,22,29,31,38,39,36,1985-06-02
26,27,29,30,36,39,19,1985-06-09
9,10,16,21,26,29,15,1985-06-16
2,11,15,18,30,34,23,1985-06-23
2,9,23,29,34,37,31,1985-06-30
11,16,25,26,29,35,8,1985-07-07
1,16,19,32,36,38,22,1985-07-14
20,22,26,28,30,32,12,1985-07-21
6,21,22,28,30,35,32,1985-07-28
3,21,24,29,31,34,26,1985-08-04
6,10,11,22,27,28,37,1985-08-11
7,8,9,16,17,21,3,1985-08-18
15,20,21,27,30,36,33,1985-08-25
1,19,27,28,34,39,20,1985-09-01
3,6,11,21,34,37,9,1985-09-08
7,14,17,22,24,26,30,1985-09-15
4,10,22,28,30,37,1,1985-09-22
6,7,13,32,37,38,28,1985-09-29
5,21,24,26,30,36,38,1985-10-06
3,19,20,24,25,38,30,1985-10-13
4,7,19,22,29,31,13,1985-10-20
7,8,9,14,21,36,38,1985-10-27
7,13,18,19,21,29,34,1985-11-03
2,4,19,22,33,35,8,1985-11-10
6,8,11,15,33,36,4,1985-11-17
9,11,12,29,30,36,28,1985-11-24
12,21,23,35,37,39,33,1985-12-01
4,16,17,20,26,33,23,1985-12-08
2,3,6,21,33,36,12,1985-12-15
5,12,16,24,31,34,7,1985-12-22
2,5,7,8,21,30,39,1985-12-29
4,9,10,27,37,39,2,1986-01-05
2,4,30,31,37,39,17,1986-01-12
11,15,32,34,38,39,22,1986-01-19
14,15,20,21,22,37,30,1986-01-26
3,12,15,16,18,38,9,1986-02-02
1,12,15,21,24,37,13,1986-02-09
5,6,8,9,11,29,18,1986-02-16
7,16,23,29,31,38,26,1986-02-23
2,9,12,17,25,32,3,1986-03-02
8,10,11,16,18,34,36,1986-03-09
2,14,19,23,28,35,9,1986-03-16
14,19,21,24,28,30,32,1986-03-23
4,18,19,20,22,36,35,1986-03-30
2,11,13,22,24,38,20,1986-04-06
7,16,19,22,29,33,6,1986-04-13
5,13,16,17,20,34,29,1986-04-20
5,22,24,29,31,37,18,1986-04-27
9,12,33,35,38,39,19,1986-05-04
13,25,27,28,33,36,19,1986-05-11
6,19,25,27,28,33,8,1986-05-18
2,7,16,18,22,26,9,1986-05-25
7,23,24,27,35,37,39,1986-06-01
1,22,23,26,27,28,33,1986-06-08
2,8,10,27,34,36,1,1986-06-15
1,17,27,33,34,38,19,1986-06-22
4,7,25,28,33,35,26,1986-06-29
1,4,7,10,34,37,6,1986-07-06
2,6,12,19,33,35,5,1986-07-13
9,12,13,21,28,39,2,1986-07-20
10,13,15,18,25,26,35,1986-07-27
3,7,13,23,24,30,1,1986-08-03
10,12,20,21,31,38,19,1986-08-10
1,11,17,28,34,37,39,1986-08-17
7,17,21,28,31,37,30,1986-08-24
4,10,12,20,30,34,23,1986-08-31
7,12,33,34,37,39,6,1986-09-07
5,13,15,22,28,34,1,1986-09-14
3,19,21,28,31,39,38,1986-09-21
1,5,8,35,37,39,12,1986-09-28
13,15,19,20,22,28,5,1986-10-05
15,18,21,25,27,32,26,1986-10-12
3,8,12,25,27,39,32,1986-10-19
5,6,8,9,15,27,34,1986-10-26
1,2,3,5,15,24,4,1986-11-02
7,10,14,16,20,28,32,1986-11-09
2,13,18,19,31,37,36,1986-11-16
1,5,9,22,26,32,18,1986-11-23
4,7,24,25,27,38,30,1986-11-30
2,13,17,28,32,37,9,1986-12-07
13,14,25,27,32,33,17,1986-12-14
1,13,15,21,35,36,8,1986-12-21
2,5,11,18,26,36,22,1986-12-28
2,10,22,33,38,39,19,1987-01-04
1,6,19,20,24,37,2,1987-01-11
3,15,25,28,31,38,37,1987-01-18
7,9,18,20,28,36,32,1987-01-25
7,16,24,25,37,38,10,1987-02-01
1,6,16,29,37,39,5,1987-02-08
2,13,14,21,23,26,9,1987-02-15
5,15,17,30,31,36,4,1987-02-22
17,18,23,28,31,34,32,1987-03-01
20,23,25,31,37,39,32,1987-03-08
3,13,16,20,21,28,19,1987-03-15
7,11,18,22,26,28,12,1987-03-22
5,7,8,22,29,33,14,1987-03-29
2,3,11,12,15,23,32,1987-04-05
11,20,25,26,29,33,38,1987-04-12
5,13,18,22,24,33,27,1987-04-19
1,5,16,18,20,22,12,1987-04-26
2,4,5,6,11,33,9,1987-05-03
8,16,17,29,30,32,12,1987-05-10
11,20,24,30,33,36,18,1987-05-17
5,9,19,23,29,37,16,1987-05-24
9,15,22,23,24,35,8,1987-05-31
15,20,26,36,37,39,23,1987-06-07
1,3,15,17,18,25,35,1987-06-14
3,7,20,30,34,38,33,1987-06-21
3,5,12,19,36,37,39,1987-06-28
10,18,22,27,29,38,5,1987-07-05
7,11,15,18,19,20,8,1987-07-12
2,7,9,13,15,19,24,1987-07-19
5,9,15,21,32,36,13,1987-07-26
1,23,30,34,37,38,9,1987-08-02
4,12,15,17,20,28,39,1987-08-09
6,16,22,27,30,35,36,1987-08-16
1,6,18,28,30,34,26,1987-08-23
8,11,12,15,31,38,10,1987-08-30
17,18,21,27,30,35,28,1987-09-06
16,23,25,27,30,35,14,1987-09-13
10,16,18,21,29,38,28,1987-09-20
11,16,19,23,25,37,22,1987-09-27
3,11,12,16,24,28,20,1987-10-04
11,12,15,19,32,33,29,1987-10-11
8,11,16,27,37,38,5,1987-10-18
1,8,12,27,34,37,35,1987-10-25
7,15,22,32,33,36,20,1987-11-01
12,20,26,32,37,38,10,1987-11-08
6,16,17,28,30,36,29,1987-11-15
8,9,18,19,20,31,10,1987-11-22
12,21,26,29,35,36,31,1987-11-29
10,16,25,29,35,36,9,1987-12-06
6,22,23,30,31,34,10,1987-12-13
5,8,30,34,37,38,20,1987-12-20
3,6,12,15,17,24,31,1987-12-27
3,13,20,34,35,38,33,1988-01-03
3,4,7,8,16,33,2,1988-01-10
10,13,14,20,22,35,27,1988-01-17
12,17,21,23,24,38,10,1988-01-24
7,15,22,29,30,37,3,1988-01-31
6,11,12,16,21,34,15,1988-02-07
6,16,22,27,37,38,24,1988-02-14
6,12,14,24,33,35,20,1988-02-21
2,15,17,28,36,37,39,1988-02-28
4,6,14,20,25,39,33,1988-03-06
5,9,10,21,26,35,30,1988-03-13
6,24,31,37,38,39,22,1988-03-20
6,8,12,25,27,32,26,1988-03-27
3,7,11,18,23,34,30,1988-04-03
18,21,23,26,27,31,7,1988-04-10
8,14,18,24,27,39,31,1988-04-17
1,18,22,23,34,36,31,1988-04-24
5,14,15,19,20,21,22,1988-05-01
4,14,18,21,35,36,12,1988-05-08
1,8,9,20,22,34,24,1988-05-15
6,8,13,24,27,37,36,1988-05-22
12,14,16,18,25,35,5,1988-05-29
8,18,28,30,36,39,32,1988-06-05
3,5,6,17,28,33,13,1988-06-12
6,17,24,30,32,39,34,1988-06-19
12,18,19,20,25,31,8,1988-06-26
2,15,17,22,24,30,31,1988-07-03
5,9,13,23,24,33,4,1988-07-10
4,11,18,20,26,32,13,1988-07-17
8,13,14,17,20,23,19,1988-07-24
6,11,12,19,32,33,8,1988-07-31
2,9,19,24,30,33,22,1988-08-07
10,12,16,30,33,37,15,1988-08-14
9,14,23,29,31,33,24,1988-08-21
11,18,20,28,36,37,29,1988-08-28
4,10,21,29,30,37,7,1988-09-04
10,12,18,19,32,35,31,1988-09-11
14,23,24,26,36,38,1,1988-09-18
3,6,19,23,28,29,24,1988-09-25
2,13,24,32,35,36,27,1988-10-02
9,13,15,17,29,30,26,1988-10-09
3,6,14,20,21,27,33,1988-10-16
1,5,10,14,26,35,38,1988-10-23
2,19,22,26,28,29,11,1988-10-30
1,5,29,32,36,38,14,1988-11-06
1,7,10,13,32,36,37,1988-11-13
4,25,33,34,35,37,13,1988-11-20
2,19,21,27,30,37,18,1988-11-27
2,12,14,24,29,33,32,1988-12-04
2,4,10,16,17,26,15,1988-12-11
12,15,21,23,35,39,36,1988-12-18
2,8,20,23,32,35,9,1988-12-25
2,3,11,23,25,37,16,1989-01-01
3,13,18,24,28,33,39,1989-01-08
11,21,28,29,35,37,14,1989-01-15
5,11,12,27,37,38,30,1989-01-22
12,16,17,20,21,39,3,1989-01-29
3,5,22,27,29,38,19,1989-02-05
15,17,26,34,36,37,13,1989-02-12
3,9,15,33,38,39,11,1989-02-19
8,19,20,22,23,32,39,1989-02-26
8,11,21,29,31,33,22,1989-03-05
7,12,13,21,23,27,32,1989-03-12
6,10,12,13,15,26,3,1989-03-19
11,18,25,31,34,38,6,1989-03-26
12,25,31,36,37,39,1,1989-04-02
2,6,14,15,21,30,34,1989-04-09
6,8,15,16,31,36,17,1989-04-16
1,11,14,19,28,34,8,1989-04-23
4,11,13,15,16,35,37,1989-04-30
8,13,15,18,23,39,27,1989-05-07
1,21,31,33,34,39,27,1989-05-14
4,6,16,33,36,39,13,1989-05-21
4,13,15,20,32,35,30,1989-05-28
10,11,19,29,32,33,4,1989-06-04
5,8,11,29,34,35,3,1989-06-11
3,9,11,16,30,39,23,1989-06-18
3,4,13,15,16,35,28,1989-06-25
14,21,28,30,32,36,13,1989-07-02
14,15,18,23,34,38,10,1989-07-09
2,3,4,17,31,33,1,1989-07-16
11,15,17,21,28,29,12,1989-07-23
7,21,30,32,33,36,23,1989-07-30
8,13,16,21,22,32,15,1989-08-06
2,11,12,16,18,32,35,1989-08-13
8,11,17,27,30,38,4,1989-08-20
5,6,10,22,30,32,14,1989-08-27
4,18,19,23,25,27,20,1989-09-03
2,10,22,28,29,37,12,1989-09-10
2,17,18,19,28,29,12,1989-09-17
2,12,20,24,28,33,29,1989-09-24
9,10,11,13,20,24,8,1989-10-01
2,7,8,14,26,31,11,1989-10-08
10,14,18,21,27,36,6,1989-10-15
1,18,21,22,32,33,16,1989-10-22
5,14,16,22,31,33,39,1989-10-29
7,9,13,22,27,35,14,1989-11-05
15,17,23,24,26,37,18,1989-11-12
5,6,15,17,24,31,3,1989-11-19
1,5,7,21,35,38,23,1989-11-26
2,10,14,16,17,32,1,1989-12-03
14,19,23,25,32,35,39,1989-12-10
1,2,4,29,34,35,30,1989-12-17
15,16,17,23,27,31,37,1989-12-24
2,7,12,14,23,35,22,1989-12-31
1,5,15,16,33,36,18,1990-01-07
7,9,13,14,21,35,25,1990-01-14
15,16,26,30,33,34,10,1990-01-21
11,13,17,22,35,38,5,1990-01-28
12,14,23,27,30,36,18,1990-02-04
2,3,17,20,26,37,12,1990-02-11
2,5,13,22,28,38,20,1990-02-18
7,18,21,28,36,39,6,1990-02-25
3,7,19,20,22,27,10,1990-03-04
4,12,23,28,36,37,21,1990-03-11
9,18,21,26,29,32,16,1990-03-18
11,13,14,24,31,33,20,1990-03-25
7,9,10,17,22,23,33,1990-04-01
2,7,11,19,27,39,28,1990-04-08
1,11,18,24,35,37,19,1990-04-15
8,22,23,25,35,37,29,1990-04-22
2,3,5,8,33,36,15,1990-04-29
2,3,16,22,27,29,14,1990-05-06
7,10,11,24,27,30,22,1990-05-13
3,10,12,15,17,24,9,1990-05-20
16,17,24,27,37,38,1,1990-05-27
2,19,20,26,34,38,37,1990-06-03
2,20,22,23,27,37,39,1990-06-10
7,8,10,14,26,31,12,1990-06-17
4,15,16,20,29,37,13,1990-06-24
9,11,14,19,30,35,38,1990-07-01
9,19,24,25,26,34,28,1990-07-08
1,21,24,35,38,39,26,1990-07-15
9,16,21,28,30,39,25,1990-07-22
5,14,27,34,36,38,4,1990-07-29
9,12,15,26,34,37,17,1990-08-05
1,7,9,14,23,31,2,1990-08-12
3,6,17,22,27,32,16,1990-08-19
2,10,11,28,29,37,33,1990-08-26
5,14,15,20,29,37,35,1990-09-02
4,8,12,26,28,37,5,1990-09-09
12,16,24,29,34,36,1,1990-09-16
