 openTime,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,NumberofTrades,TakerbuyBaseAssetVolume,TakerbuyQuoteAssetVolume,Ignore
1612417800000,37509.95000000,37631.57000000,37509.95000000,37575.08000000,159.63437400,1612418099999,5996784.15396275,4109,79.73360800,2995318.87739280,0
1612418100000,37579.92000000,37608.52000000,37535.78000000,37578.23000000,190.30860100,1612418399999,7151347.81048561,3884,82.18068900,3087889.63218645,0
1612418400000,37577.31000000,37665.29000000,37530.95000000,37645.94000000,265.37650900,1612418699999,9976780.68864335,10777,108.75544400,4088576.90738426,0
1612418700000,37645.94000000,37774.95000000,37609.99000000,37747.81000000,180.16588400,1612418999999,6794205.22851629,7898,96.00657700,3619897.73319645,0
1612419000000,37747.81000000,37840.70000000,37724.01000000,37753.36000000,166.82973200,1612419299999,6301913.24918990,5751,81.75507700,3088510.63565311,0
1612419300000,37752.24000000,37798.60000000,37714.37000000,37780.65000000,167.97472700,1612419599999,6344309.12804507,5003,70.83320500,2675218.34446636,0
1612419600000,37780.64000000,37908.44000000,37762.43000000,37901.85000000,312.28330300,1612419899999,11818267.39374592,6907,193.38591700,7318899.35590105,0
1612419900000,37901.85000000,38014.47000000,37851.98000000,38014.46000000,473.36315800,1612420199999,17967561.74254795,8738,313.89295700,11916990.57782153,0
1612420200000,38014.57000000,38117.07000000,37887.51000000,38028.77000000,511.47146000,1612420499999,19458707.75233654,12865,272.42216800,10367089.71622720,0
1612420500000,38028.76000000,38028.76000000,37890.64000000,37987.91000000,306.61053900,1612420799999,11641934.59251075,7751,148.07882800,5622737.70917111,0
1612420800000,37987.44000000,38080.00000000,37955.08000000,38075.88000000,201.29228800,1612421099999,7649744.06016003,5137,111.04657600,4220712.73455731,0
1612421100000,38075.66000000,38082.43000000,37972.81000000,38018.65000000,225.30112100,1612421399999,8564920.02595385,5261,108.81581300,4136637.52350050,0
1612421400000,38018.24000000,38049.74000000,37987.49000000,38040.03000000,199.49144500,1612421699999,7584657.51532689,4636,93.49108100,3554643.93032425,0
1612421700000,38040.03000000,38195.00000000,38024.94000000,38076.43000000,395.55051100,1612421999999,15083884.28636310,8279,199.10336800,7592702.44885402,0
1612422000000,38076.43000000,38140.00000000,37986.22000000,38008.74000000,242.66978500,1612422299999,9236728.28002168,6284,134.76235200,5130511.39149283,0
1612422300000,38008.74000000,38041.71000000,37975.39000000,38012.66000000,258.84726500,1612422599999,9838600.57250507,5328,136.63704100,5193534.51084888,0
