 openTime,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,NumberofTrades,TakerbuyBaseAssetVolume,TakerbuyQuoteAssetVolume,Ignore
1610776800000,1164.12000000,1174.94000000,1162.98000000,1173.95000000,17243.00940000,1610778599999,20159478.72324890,14309,9087.35842000,10624413.60018750,0
1610778600000,1173.95000000,1176.76000000,1169.81000000,1173.13000000,19348.85260000,1610780399999,22700455.13391360,14712,9054.44394000,10624351.17894470,0
1610780400000,1173.13000000,1189.76000000,1171.14000000,1184.76000000,36025.32546000,1610782199999,42642948.12788010,26282,19308.63093000,22853580.33070090,0
1610782200000,1184.67000000,1187.50000000,1179.47000000,1182.90000000,18848.43643000,1610783999999,22307700.33721780,14912,9962.38203000,11791882.72132420,0
1610784000000,1182.88000000,1190.45000000,1177.00000000,1183.63000000,18780.36031000,1610785799999,22245326.38998490,22692,9679.21756000,11464448.85313080,0
1610785800000,1183.62000000,1217.94000000,1181.68000000,1215.47000000,61639.50274000,1610787599999,74450638.01554350,49997,34173.09530000,41270308.15753930,0
1610787600000,1215.62000000,1217.39000000,1206.98000000,1208.59000000,28477.15736000,1610789399999,34493416.70550920,20221,14402.74213000,17446384.67221580,0
1610789400000,1208.59000000,1215.00000000,1204.06000000,1214.99000000,22362.44630000,1610791199999,27066916.78456710,17330,11528.15253000,13955968.78820220,0
1610791200000,1214.99000000,1225.01000000,1212.46000000,1215.30000000,38764.93527000,1610792999999,47287058.99867970,26012,21111.17757000,25753757.49191050,0
1610793000000,1215.17000000,1216.00000000,1206.53000000,1213.47000000,27959.15076000,1610794799999,33861839.77512010,20207,15694.80274000,19009457.84242980,0
1610794800000,1213.30000000,1218.35000000,1205.34000000,1217.80000000,25526.06399000,1610796599999,30942715.27982200,17866,12231.30791000,14831934.50314970,0
1610796600000,1217.81000000,1225.52000000,1210.00000000,1219.00000000,31234.17920000,1610798399999,38121253.90788640,23524,16331.35726000,19939193.38000460,0
1610798400000,1219.00000000,1232.73000000,1188.38000000,1196.58000000,60460.33254000,1610800199999,73460700.91328810,40431,29762.50390000,36178244.61709550,0
1610800200000,1196.95000000,1219.50000000,1188.00000000,1217.52000000,34982.50619000,1610801999999,42247623.77831820,27997,18796.02078000,22715221.05936890,0
1610802000000,1217.59000000,1250.00000000,1217.22000000,1245.90000000,64464.48697000,1610803799999,79583492.92763920,48598,36639.54414000,45245304.75190130,0
1610803800000,1245.90000000,1246.67000000,1228.38000000,1231.28000000,40925.43876000,1610805599999,50623693.30355910,32050,18777.11213000,23229517.15093860,0
1610805600000,1231.31000000,1243.43000000,1216.67000000,1219.07000000,35231.56669000,1610807399999,43406223.92574980,29228,16281.30991000,20074759.32366350,0
1610807400000,1218.59000000,1240.48000000,1216.67000000,1238.99000000,38688.85036000,1610809199999,47637509.88481500,26309,18405.49639000,22680976.90017880,0
1610809200000,1238.99000000,1244.51000000,1231.10000000,1235.44000000,23279.58352000,1610810999999,28810417.66037150,23043,12648.40496000,15658156.80359100,0
1610811000000,1235.57000000,1278.00000000,1235.57000000,1276.27000000,84860.43666000,1610812799999,107046081.51532720,64031,50483.96909000,63632444.58733460,0
1610812800000,1276.29000000,1298.00000000,1259.03000000,1280.44000000,88615.59280000,1610814599999,113309229.66973950,60572,47307.52207000,60544252.23216100,0
1610814600000,1280.44000000,1280.44000000,1252.09000000,1265.87000000,39528.46464000,1610816399999,50016746.63941580,31422,18594.87741000,23522478.53973390,0
1610816400000,1265.88000000,1270.00000000,1246.22000000,1254.79000000,39086.21543000,1610818199999,49151632.74332390,27421,20019.61497000,25180091.63970130,0
1610818200000,1254.75000000,1264.62000000,1252.27000000,1253.51000000,20259.62155000,1610819999999,25497388.52505150,17642,10456.20372000,13161380.23382720,0
1610820000000,1253.60000000,1258.99000000,1241.34000000,1252.71000000,24881.35917000,1610821799999,31117190.72632540,20797,12331.40995000,15423089.95227360,0
1610821800000,1252.71000000,1257.81000000,1228.30000000,1231.38000000,33841.15873000,1610823599999,42115348.99884340,25782,15250.77549000,18999482.30824090,0
1610823600000,1231.44000000,1246.34000000,1218.40000000,1236.48000000,42239.53836000,1610825399999,52170991.02456510,33889,20817.97135000,25725224.20604600,0
1610825400000,1236.25000000,1256.11000000,1236.25000000,1252.59000000,28691.92830000,1610827199999,35849905.87282530,24422,14175.87508000,17710832.46694040,0
1610827200000,1252.40000000,1273.90000000,1245.00000000,1273.45000000,30961.51696000,1610828999999,39033386.17996890,27929,15632.87360000,19711300.75208030,0
1610829000000,1273.45000000,1280.71000000,1261.02000000,1273.70000000,29220.99015000,1610830799999,37184795.13084220,27058,14384.06992000,18312474.38354000,0
1610830800000,1273.70000000,1273.90000000,1250.50000000,1255.77000000,24002.28683000,1610832599999,30237806.24603110,22146,11395.65483000,14354925.66763960,0
1610832600000,1255.78000000,1256.78000000,1222.00000000,1234.89000000,55375.94081000,1610834399999,68454534.93179880,42576,24626.60906000,30466670.50315570,0
1610834400000,1234.91000000,1235.24000000,1200.00000000,1222.55000000,45182.45258000,1610836199999,54994489.79808310,40224,20448.30555000,24906333.72200150,0
1610836200000,1222.62000000,1239.85000000,1221.39000000,1231.93000000,19832.62110000,1610837999999,24411829.63935200,18310,10447.22460000,12863202.58594490,0
1610838000000,1231.99000000,1233.13000000,1211.46000000,1224.92000000,25130.02361000,1610839799999,30740723.73665340,21225,12601.13495000,15414823.38723300,0
1610839800000,1224.76000000,1240.78000000,1221.78000000,1227.83000000,25993.65090000,1610841599999,32091211.20483230,20533,12626.98706000,15589766.02299610,0
1610841600000,1227.83000000,1228.25000000,1200.53000000,1216.39000000,43638.96998000,1610843399999,52894042.90512550,34013,20060.20562000,24311234.27844580,0
1610843400000,1216.43000000,1239.55000000,1215.64000000,1235.64000000,28893.47585000,1610845199999,35524465.49166980,26415,14982.44533000,18421792.03609030,0
1610845200000,1235.79000000,1239.00000000,1225.00000000,1238.61000000,17716.08181000,1610846999999,21837780.31734610,16979,8823.70043000,10879970.87226040,0
1610847000000,1238.61000000,1251.34000000,1225.49000000,1250.75000000,22969.97880000,1610848799999,28393291.43550310,20919,12149.13314000,15025081.81320460,0
1610848800000,1250.56000000,1258.00000000,1245.85000000,1248.09000000,23872.09188000,1610850599999,29871739.21893760,22361,12307.68253000,15402275.99723080,0
1610850600000,1248.08000000,1250.17000000,1238.16000000,1245.35000000,15652.12322000,1610852399999,19501530.96067250,15071,7938.91917000,9891093.99593840,0
