 openTime,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,NumberofTrades,TakerbuyBaseAssetVolume,TakerbuyQuoteAssetVolume,Ignore
1611841200000,31553.85000000,31646.15000000,31533.45000000,31581.35000000,403.85026700,1611841499999,12759611.31297042,8892,207.41107900,6553533.09744018,0
1611841500000,31581.35000000,31790.00000000,31581.35000000,31767.26000000,514.01059200,1611841799999,16296208.16176323,9949,272.09954200,8628472.96440768,0
1611841800000,31771.06000000,31819.43000000,31738.28000000,31815.82000000,491.29248700,1611842099999,15611813.51505139,8140,277.61672600,8822629.77545338,0
1611842100000,31815.93000000,31840.00000000,31700.14000000,31775.12000000,370.85257800,1611842399999,11780352.25654994,7614,166.72066800,5296945.21521252,0
1611842400000,31775.12000000,31829.70000000,31612.52000000,31819.87000000,406.85049800,1611842699999,12903988.58915026,8251,196.63862300,6236296.29718085,0
1611842700000,31816.06000000,32150.00000000,31814.55000000,32038.35000000,1526.66027500,1611842999999,48862397.81459872,23297,1000.19676500,32001019.10144993,0
1611843000000,32038.12000000,32109.94000000,31924.92000000,31939.44000000,538.74796700,1611843299999,17244307.76983685,9704,263.14978500,8425410.44856629,0
1611843300000,31939.44000000,31962.24000000,31811.01000000,31889.91000000,371.54579400,1611843599999,11843487.21293674,9438,179.97631400,5736738.24925552,0
1611843600000,31889.91000000,32032.65000000,31718.79000000,31749.32000000,452.42510800,1611843899999,14415704.67391757,10112,230.61076000,7352129.60409380,0
1611843900000,31749.32000000,31866.00000000,31749.31000000,31806.56000000,286.23030300,1611844199999,9106237.33334804,6411,145.69605000,4635261.45477332,0
1611844200000,31806.57000000,31870.00000000,31734.49000000,31747.89000000,277.42295300,1611844499999,8819445.03912967,5869,146.66888400,4663161.81607435,0
1611844500000,31748.98000000,31798.53000000,31704.88000000,31744.83000000,226.81901300,1611844799999,7201000.27722679,5134,116.60236500,3702374.07476119,0
1611844800000,31744.83000000,31795.53000000,31720.51000000,31764.60000000,222.22743500,1611845099999,7058545.06585096,5008,90.64540500,2879263.95648330,0
1611845100000,31759.80000000,31943.68000000,31759.76000000,31860.73000000,369.98775500,1611845399999,11783004.93766979,7323,248.85546000,7926303.52306223,0
1611845400000,31861.56000000,31920.89000000,31816.64000000,31846.72000000,481.85342400,1611845699999,15355533.99100114,8141,138.66658400,4420319.31664739,0
1611845700000,31846.72000000,31970.07000000,31812.82000000,31830.53000000,353.17735300,1611845999999,11258775.44141805,8765,152.43476500,4859432.44360312,0
1611846000000,31829.74000000,32096.00000000,31813.00000000,32092.05000000,571.45083700,1611846299999,18240735.21366434,11356,315.00720900,10055828.41892322,0
1611846300000,32092.05000000,32131.78000000,31759.40000000,31788.83000000,595.76269000,1611846599999,19050769.21129320,13757,243.52303100,7790837.74518103,0
1611846600000,31788.82000000,31819.89000000,31680.69000000,31763.84000000,476.02363500,1611846899999,15111594.75192899,10164,200.21411100,6356773.20926497,0
1611846900000,31763.85000000,31938.37000000,31761.17000000,31898.55000000,498.81915100,1611847199999,15888103.84546667,10805,272.21486500,8672211.40849131,0
1611847200000,31898.38000000,32203.38000000,31893.02000000,32082.97000000,782.82854100,1611847499999,25115824.29579248,16906,450.62424500,14459114.53344948,0
1611847500000,32082.97000000,32120.00000000,31989.00000000,32013.53000000,569.07918400,1611847799999,18248283.97453456,14456,268.19547400,8601119.63814838,0
1611847800000,32016.62000000,32100.00000000,32000.45000000,32066.61000000,506.61298000,1611848099999,16241268.98364367,11477,235.88120000,7561721.37634121,0
1611848100000,32070.65000000,32084.21000000,31884.98000000,32040.48000000,485.35031900,1611848399999,15521581.49332100,11816,232.18416900,7424389.23597196,0
1611848400000,32040.47000000,32081.47000000,31918.52000000,31944.25000000,329.98970700,1611848699999,10555410.63045945,8513,145.05007300,4638741.55236836,0
1611848700000,31944.24000000,31987.79000000,31869.70000000,31910.18000000,251.24958100,1611848999999,8019422.25540473,7487,131.79231400,4206615.22871341,0
1611849000000,31914.41000000,31947.68000000,31819.90000000,31944.28000000,328.01471400,1611849299999,10458438.13263285,8606,186.53700000,5948523.53150224,0
1611849300000,31944.28000000,32092.41000000,31850.00000000,31926.49000000,465.19694300,1611849599999,14867567.70151254,12294,249.04651500,7960176.46232306,0
1611849600000,31926.49000000,32077.79000000,31883.01000000,31945.02000000,567.40950600,1611849899999,18138643.98706361,15118,285.48576100,9126709.61700569,0
1611849900000,31945.02000000,32009.73000000,31873.29000000,31946.57000000,567.99817000,1611850199999,18137106.85125332,9000,223.89484600,7150005.74261024,0
