 openTime,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,NumberofTrades,TakerbuyBaseAssetVolume,TakerbuyQuoteAssetVolume,Ignore
1611704100000,32592.52000000,32649.99000000,32522.19000000,32554.63000000,272.78342800,1611704399999,8885756.75347803,5606,135.47525200,4412772.80574216,0
1611704400000,32556.26000000,32675.00000000,32519.60000000,32552.92000000,215.24196900,1611704699999,7015671.44933029,6037,112.16630200,3655959.83163816,0
1611704700000,32552.91000000,32633.75000000,32515.71000000,32515.71000000,133.80338400,1611704999999,4357187.21778700,5395,62.02438100,2020003.66397240,0
1611705000000,32515.71000000,32602.79000000,32505.79000000,32558.85000000,207.14281600,1611705299999,6746353.59496178,5471,118.70193100,3866163.52716215,0
1611705300000,32558.85000000,32579.00000000,32454.84000000,32467.77000000,223.35871500,1611705599999,7260652.44025043,7537,97.76197600,3178241.18835235,0
1611705600000,32464.01000000,32557.29000000,32263.42000000,32320.02000000,547.58469400,1611705899999,17746854.88214916,10753,225.57136800,7311047.79078065,0
1611705900000,32320.01000000,32345.42000000,32237.98000000,32242.02000000,265.43848700,1611706199999,8569807.89275117,5813,134.57114200,4345385.30287523,0
1611706200000,32242.01000000,32349.21000000,32205.00000000,32236.03000000,181.00719700,1611706499999,5842233.62488602,4603,74.91044100,2418299.85175326,0
1611706500000,32236.04000000,32316.93000000,32211.55000000,32272.68000000,152.22990200,1611706799999,4911243.31892641,4384,77.80899500,2510187.82088244,0
1611706800000,32274.34000000,32316.47000000,32227.70000000,32273.31000000,226.44330000,1611707099999,7307965.77022422,4297,139.08659800,4488771.04287296,0
1611707100000,32273.46000000,32343.29000000,32235.00000000,32298.54000000,185.86607300,1611707399999,6001032.27830314,3837,116.44821300,3759898.29815126,0
1611707400000,32298.53000000,32447.53000000,32250.00000000,32273.67000000,242.67823100,1611707699999,7851395.77964575,5045,166.65840100,5392558.49992591,0
1611707700000,32273.66000000,32352.36000000,31950.00000000,31964.22000000,555.00816500,1611707999999,17818969.65933234,11293,234.66164400,7534886.46030073,0
1611708000000,31965.85000000,32080.39000000,31910.01000000,32068.69000000,303.11134100,1611708299999,9696839.82385269,5851,193.10557000,6178700.15855031,0
1611708300000,32068.69000000,32122.43000000,32024.36000000,32077.72000000,164.87225400,1611708599999,5289349.29521942,4008,97.41781000,3124696.31710715,0
1611708600000,32077.72000000,32125.42000000,31880.00000000,31959.69000000,381.72660500,1611708899999,12212064.12167458,6026,129.39136000,4140856.33745140,0
1611708900000,31959.70000000,32338.55000000,31959.70000000,32335.70000000,306.80864100,1611709199999,9868629.50000818,6996,180.62542000,5813885.72129976,0
1611709200000,32335.71000000,32457.79000000,32171.11000000,32206.66000000,519.16550200,1611709499999,16785891.48252553,8644,198.07077900,6404702.12717300,0
1611709500000,32205.62000000,32274.41000000,32128.28000000,32138.13000000,207.60923100,1611709799999,6687808.90759955,5148,110.42030000,3557297.89830098,0
